Story ID,Issue,Month,Section,Questions,Story Headline (If published),Story Description or Prompt,Story state,Pitch Date,Expressed Interest,Confirmed Writer(s),Editor,Second Editor,Story Doc,Media,Story Notes,Build Notes
NYC-SP-STR-13,SPS: July 2025,07-2025,Community Resources,Where can Sunset Park residents find immigration resources and legal help?,Looking for Immigrant Resources in Sunset Park? Here’s a Short List,"Ray A. compiled a starting list of immigration resources available to Sunset Park residents, including Mixteca, South Brooklyn Mutual Aid, Brooklyn Defenders, Make the Road New York, and the New York Immigration Coalition. The piece described what each organization offers, noted the list was not exhaustive, and pointed to QR codes linking to addresses in English, Spanish, and Chinese.",Answered,,,Ray Acheson,Eliana Miller,Unassigned,,,,
NYC-SP-STR-14,SPS: July 2025,07-2025,Business Spotlight,What's Behind the Menu at Cafe Nube?,What’s Behind the Menu at... Cafe Nube?,"Maureen C. and Carmen R. profiled Cafe Nube, the part cafe, part art gallery that brothers Allen and Ron Lee opened near the 36th Street subway station in December 2019 with their parents. The story covered the small menu built to cut waste, the decision to raise prices only twice since opening, and the rotating gallery shows the brothers now curate themselves.",Answered,,,"Carmen Rivera, Maureen Cullen",Eliana Miller,Unassigned,,,,
NYC-SP-STR-15,SPS: July 2025,07-2025,Nature,What is the most common hawk soaring over Sunset Park?,Sunset Park Bird of the Month: The Red-Tailed Hawk,"Charlie DeWitt launched a Bird of the Month feature with the red-tailed hawk, the bird he sees most often in the park and in Green-Wood Cemetery. The piece described the hawk's hunting, nesting, and mating habits, and asked readers to write in when they spot one overhead.",Answered,,,Charlie Dewitt,Eliana Miller,Unassigned,,,,
NYC-SP-STR-16,SPS: July 2025,07-2025,Event Spotlight,What does a 1979 documentary reveal about Sunset Park?,Come Watch a 1979 Documentary About Sunset Park on July 8 at the Library,"The team previewed a July 8 screening at the Sunset Park Library of Sunset Park, a 17-minute 1979 documentary produced by The Anchor Savings Bank and co-sponsored by Community Board 7, the Pratt Center, and the Sunset Park Restoration Committee. The piece sketched the Restoration Committee's history of house tours, curriculum work, and local housing research, and invited attendees to stay for a conversation afterward.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-17,SPS: August 2025,08-2025,Welcome Note,Where does Sunset Park begin and end — and who decides?,How a Simple Map of Sunset Park Sparked a Question - and then a Story,"Terry Parris Jr. opened the third issue by returning to the October 2024 kickoff session, where about 25 neighbors marked the places that mattered to them on a map of Sunset Park and started asking where its borders actually were. The note reported that no single answer emerged — people described their edges through daily routine, and the only line everyone agreed on was the water to the west — and framed the rest of the issue as a tour of the neighborhood's nooks.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-18,SPS: August 2025,08-2025,Neighborhood Spotlight,Why can't anyone agree on Sunset Park's borders?,Where Does Sunset Park Start and Stop? Not All the Maps Match.,"Michal N. compared how Google Maps, the New York Times' 2023 crowd-sourced neighborhood map, and Community Board 7 each draw Sunset Park's boundaries, and found that no two matched. She also collected building names that point somewhere else — Park Slope Homes on 41st Street, two Linden Heights sites, Sunset Ridge Cafe, the former Bay Ridge Savings Bank on 5th Avenue, and a Greenwood Heights Reformed Church property marker — and asked who gets to decide what a neighborhood is called.",Answered,,,Michal Novemsky,Eliana Miller,Unassigned,https://docs.google.com/document/d/1pOJdLJrnw7a_QmZX4mQH7OfU0oD57PlZN4VrjIstXAc/edit?tab=t.0,,,
NYC-SP-STR-19,SPS: August 2025,08-2025,Neighborhood Spotlight,What neighborhood history lives in your family's closet?,"History Lives in Our Homes, Not Just in Our Museums","Ciel J. P. wrote about how neighborhood history survives in family closets rather than institutions, using the NYC Municipal Archives' 722,485 tax photos from 1939–41 and the 1940s.nyc map built from them. She sat with her grandmother Altagracia and great aunt Delfina to find a demolished family home at 5212 6th Avenue, and used the piece to announce the Sunset Park Museum initiative and a call for residents' own photographs.",Answered,,,Ciel Jiménez Petrinovic,Eliana Miller,Unassigned,https://docs.google.com/document/d/185CfjGXVe-1swWk4qz8qC0SOnAl_caVV9kLG2kepW7g/edit?tab=t.0,,,
NYC-SP-STR-20,SPS: August 2025,08-2025,Business Spotlight,What's Behind the Menu at Sole Cafe?,What's Behind the Menu at... Sole Cafe?,"Maureen C. and Carmen R. profiled Sole Cafe, the small shop at 5th Avenue and 34th Street that Daniel Mentado and Melissa Wen opened in 2025 across from Green-Wood Cemetery. The piece covered Daniel's fifteen years in coffee, the sneaker collection that gave the cafe its name, the Melbourne-roasted house blend, and the knitting group and running club the owners started to pull neighbors in.",Answered,,,"Carmen Rivera, Maureen Cullen",Eliana Miller,Unassigned,https://docs.google.com/document/d/1l0KFB5lwTAJahB202dmzqawfLsLrd6V513kHS2JpbeY/edit?tab=t.0,,,
NYC-SP-STR-21,SPS: August 2025,08-2025,Food,How do two community farms bring fresh food to Sunset Park doorsteps?,From Farm to Front Door: How Sunset Park Connects Through Fresh Food,"Angela S. and Michal N. compared the two CSAs operating in Sunset Park: the volunteer-run Sunset Park CSA, founded in 2008 and serving nearly 100 households out of St. Michael's Church, and Harvest Share, a 2022 NYU Langone research project on a Brooklyn Grange rooftop near Industry City. Each writer described her own membership, and the piece laid out share prices, sliding scales, SNAP acceptance, and the culturally tailored Chinese and Mexican shares Harvest Share grows.",Answered,,,"Angela Sharp, Michal Novemsky",Eliana Miller,Unassigned,CSA edit,,,
NYC-SP-STR-22,SPS: August 2025,08-2025,Community Resources,"What is wage theft, and what can workers do about it?",What is Wage Theft?,"An explainer from Documented, the nonprofit newsroom covering immigrant New York, defined wage theft and illustrated it with three cases: a busser whose manager pocketed cash tips, a renovation worker paid half his agreed rate, and a bakery cashier charged for uniform cleaning. It walked readers through looking up an employer on Documented's Wage Theft Monitor and listed the options for acting — a workers center, a labor lawyer, or a claim with the state Department of Labor.",Answered,,,,Eliana Miller,Unassigned,,,,
NYC-SP-STR-23,SPS: August 2025,08-2025,Arts & Culture,What did 19 Sunset Park street vendors reveal about their lives in a one-day exhibit?,‘Venciendo el Miedo’ Puts Street Vendors in Focus,"Carmen R. covered Venciendo el Miedo (Overcoming Fear), a one-day July 15 exhibit at Sunset Park Library presenting the photos, written narratives, and audio of 19 Sunset Park street vendors. The story traced the project to 14 weeks of photovoice workshops led by Voces Ciudadanas and advocacy director Valeria Paz Reyes, and named the four themes that emerged: fear, perseverance and survival, passing on traditions, and community building.",Answered,,,Carmen Rivera,Eliana Miller,Unassigned,Street Vendor,,,
NYC-SP-STR-24,SPS: August 2025,08-2025,Fun,Can you name every crop in the Sunset Park Sun's cover illustration?,Crop Quiz!,"The back page ran a Crop Quiz built on Mattie Akers' cover illustration of CSA vegetables, asking readers to name each crop on a matching blank grid. Entries emailed by August 20 were eligible for the September issue, with five winners promised the vegetable or fruit of their choice at the next Library Newsroom session.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-25,SPS: September 2025,09-2025,Welcome Note,What does home mean in Sunset Park — and what threatens it?,Home is where the rice balls are,"Terry Parris Jr. opened the fourth issue on the theme of home in all its forms — the block you live on, the art on the streets, the community pool, and a plate of rice balls — and named affordability and the fear of losing a home as the pressure running underneath it. He framed the issue's stories as different answers to that: a café that became a gathering place, artists carving out room to work, neighbors sharing traditions, and a community wrestling with rent.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-26,SPS: September 2025,09-2025,Neighborhood Spotlight,How did a family from Puebla turn a storefront on 61st Street into Sunset Park's living room?,Gigi’s Coffee Shop Brews More Than Coffee in Sunset Park,"Sol M. profiled GiGi's Coffee Shop at 511 61st Street, tracing Efren Dominguez and Guillermina Galicia's move from Puebla to Sunset Park in 2000 and Efren's climb from catering-hall dishwasher to head chef before the family opened the café in 2022. The piece covered the 2023 expansion into the space next door, the small library curated by daughter Bernice, and the birthday parties, quinceañeras, and Christmases that turned the shop into a gathering place; the interview was conducted in Spanish.",Answered,,,Sol Montes,Terry Parris Jr.,Unassigned,https://docs.google.com/document/d/11QSk-StQAGfWDSfEK7Aatyf4UHU_SXtIl0c82fK3PD0/edit?tab=t.abhhnl5rim7w,,,
NYC-SP-STR-27,SPS: September 2025,09-2025,Arts & Culture,Where can artists in Sunset Park find affordable workspace?,Where Can Artists in Sunset Park Work?,"Susan P. opened a new feature on artist workspace by rounding up three places in Sunset Park where artists can make their work: the NARS Foundation at 201 46th Street, MADE Bush Terminal, and ArtBuilt at the Brooklyn Army Terminal. She described each one's residencies, studio leases, and workshops, noted the list was not exhaustive, and asked readers to write in with others or share their own workspace.",Answered,,,Susan Parker,Eliana Miller,Unassigned,Newsroom Artists PDF - layout.docx,,,
NYC-SP-STR-28,SPS: September 2025,09-2025,Nature,What is the fish-hunting raptor nesting at Bush Terminal Piers Park?,Sunset Park Bird of the month: Osprey,"Charlie DeWitt's Bird of the Month featured the osprey, a fish-eating water bird that nests on a platform at the lagoon bird sanctuary in Bush Terminal Piers Park, visible from the first pier off the 43rd Street entrance. The piece described the bird's white crest, brown cheek patch, 57-to-59-inch wingspan, and 80-mile-per-hour dives, and noted its comeback since the 1972 ban on DDT.",Answered,,,Charlie Dewitt,Eliana Miller,Unassigned,September Bird of the Month,,,
NYC-SP-STR-29,SPS: September 2025,09-2025,Neighborhood News,"How much is rent going up for Sunset Park's stabilized tenants, and what can they do?",Rent Guidelines Board Approves Increases: What Sunset Park Rent-Stabilized Tenants Should Know,"Ahdya A. explained the Rent Guidelines Board's June 30, 2025 vote to raise rent-stabilized rents 3 percent on one-year leases and 4.5 percent on two-year leases, with worked examples on a $2,000 rent and instructions for checking whether an apartment qualifies. She set the increase against Sunset Park's numbers — roughly 1,000 buildings with stabilized units, about 63 percent renters, and 27.2 percent severely rent burdened in 2023 — and closed with what tenants can do, including getting help from Neighbors Helping Neighbors.",Answered,,,Ahdya Attea,Eliana Miller,Unassigned,BPL Newsroom_Rents are Rising_Attea,,,
NYC-SP-STR-30,SPS: September 2025,09-2025,Arts & Culture,"How are 54th Street neighbors raising $25,000 to replace the Unity Mural?",54th Street Comes Together to Paint a Picture,"Adriana Alba covered the effort by 54th Street residents to replace the Sunset Park Unity Mural on the Citibank wall at 54th and 5th Avenue, which had not been updated since 2001. Block resident Katie Walsh assembled a task force of neighbors, Antonio M. canvassed the block for image ideas, and Brooklyn muralist Danielle Mastrion was selected; of the $25,000 needed, residents had raised $2,500 and the Sunset Park BID committed $10,000 under executive director David Estrada.",Answered,,,Adriana Alba,Eliana Miller,Unassigned,Sunset Park Sun_ Mural (Adriana Aba),,,
NYC-SP-STR-31,SPS: September 2025,09-2025,Event Spotlight,Thinking about buying a home? Where can you start in Sunset Park?,Thinking About Buying a Home?,"The team ran a short notice about free online Introduction to Homebuying workshops offered that fall by Neighbors Helping Neighbors, the HUD-certified housing counseling group based in Sunset Park. The sessions covered the basics of purchasing a first home and how housing counselors can help, with QR codes to register for the September 16 session in Spanish or the September 17 session in English.",Answered,,,Eliana Miller,Eliana Miller,Unassigned,,,,
NYC-SP-STR-32,SPS: September 2025,09-2025,Food,How does a family recipe for rice balls travel from southern Italy to 48th Street?,Bernadette’s Rice Balls,"Maureen C. shared Bernadette Wilson's arancini recipe, passed to her over 40 years ago by her sister-in-law's family from Basilicata in southern Italy and made for neighbors on 48th Street at the holidays. The page ran the full ingredient list, equipment, and four steps: cook the rice, mix in butter, egg yolks, grated cheese and mozzarella, bread the balls in egg white and breadcrumbs, and fry at 350°F.",Answered,,,Maureen Cullen,Eliana Miller,Unassigned,,,,
NYC-SP-STR-33,SPS: October 2025,10-2025,Welcome Note,What's moving through Sunset Park this month?,Sunset Park in Motion,"Terry Parris Jr. opened the fifth issue on the theme of motion — bikes threading through busy streets, festivals spilling onto avenues, students shaping paper and plaster into creatures, and the ongoing conversations about how the neighborhood builds and grows. He framed the issue's stories as different angles on that movement: delayed bike safety upgrades, a documentary screening, alebrijes for Día de los Muertos, the 5th Avenue Festival, and a bar that became a gathering place for art.",Answered,,,Terry Parris Jr.,,Unassigned,,,,
NYC-SP-STR-34,SPS: October 2025,10-2025,Event Spotlight,What does a decade-long documentary reveal about Industry City and Sunset Park?,Screening of Emergent City at Sunset Park Library,"The team previewed a free October 23 screening of Emergent City at the Sunset Park Library, the documentary filmed over more than a decade about the transformation of Industry City and what it meant for the neighborhood. The notice announced a post-screening conversation with co-director Jay Arthur Sterrenberg, gave the 5:30 p.m. start, and noted the event was supported by the Empire Wind Offshore Wind Project with RSVP by QR code.",Answered,,,Terry Parris Jr.,,Unassigned,,,,
NYC-SP-STR-35,SPS: October 2025,10-2025,Neighborhood Spotlight,How did a parade of more than 60 flags become Sunset Park's biggest street festival?,"Food, Flags, and Farm Animals: Sunset Park’s 5th Avenue Festival","Ciel J. P. traced the 26th anniversary of the Sunset Park BID 5th Avenue Festival back to its origins, from the 1994 Parade of Flags that drew more than 60 nations and even then-Mayor Giuliani, to the BID's first festival on October 23, 1999, with its sound stages, amusement rides, and farm animals. She described how the parade was eventually discontinued while its spirit carried into the September festival, now an unofficial celebration of the nine Latin American independence days that fall that month",Answered,,,Ciel Jiménez Petrinovic,,Unassigned,,,,
NYC-SP-STR-36,SPS: October 2025,10-2025,Neighborhood Spotlight,What happened at the 26th annual Sunset Park BID Street Festival?,Sunset Park BID Street Festival Recap,"Michal N. recapped the 26th annual Sunset Park BID Street Festival on September 21, when thousands of neighbors filled fifteen blocks of 5th Avenue between 44th and 59th Streets for food, music, games, and a live animal display of parrots and snakes. She named the local businesses and elected officials with booths — among them State Senator Andrew Gounardes and Council Member Alexa Avilés — and noted the Sunset Park Sun's own table, where neighbors signed up for future issues.",Answered,,,Michal Novemsky,,Unassigned,,,,
NYC-SP-STR-37,SPS: October 2025,10-2025,Business Spotlight,What's Behind the Menu at Mama Tried?,What’s Behind the Menu at...Mama Tried,"Ray A. profiled Mama Tried, the bar at 3rd Avenue and 27th Street that Colin Strohm, Jessica Higgs, and Will Nolan opened in March 2021 under the BQE. The piece covered the backyard built with friends for live music, the drag karaoke and plant swaps, Will's food and cocktail menu including the New York Times–featured Pink Angel, and the wall of customers' mothers' photographs.",Answered,,,Ray Acheson,Eliana Miller,Unassigned,,,,
NYC-SP-STR-38,SPS: October 2025,10-2025,Community Resources,How can you help Sunset Park's street cats?,How you can help sunset park's street cats,"Edy R. wrote about the stray cats living in Sunset Park and the obstacles that shorten their lives, pointing readers to shelters and adoption groups including Animal Care Centers of NYC, Brooklyn Cat Cafe, and Angels for Mistreated Animals. She explained Trap Neuter Release as a humane method of population control and listed where to get training and spay-neuter help, from Neighborhood Cats to Flatbush Cats and the Brooklyn Bridge Animal Welfare Coalition.",Answered,,,Edy Radovic,,Unassigned,,,,
NYC-SP-STR-39,SPS: October 2025,10-2025,Neighborhood News,What's standing in the way of safer biking in Sunset Park?,Biking in Sunset Park Hits Bumps and Breakthroughs,"Becca E. rounded up the state of cycling in Sunset Park, from the protected bike lane approved for 3rd Avenue between Prospect Avenue and 62nd Street — postponed by the Department of Transportation until at least 2026 after business groups objected — to the NYPD's switch to criminal summonses, which pushed citywide cyclist summonses from 561 to nearly 6,000 in a single quarter. She also covered the Citi Bike expansion into Bay Ridge, a planned dock at the 9th Avenue D stop, and the Oonee secure bike parking hub coming to the 25th Street R station.",Answered,,,Becca Elzinga,,Unassigned,,,,
NYC-SP-STR-40,SPS: October 2025,10-2025,Event Spotlight,How are Sunset Park High School students building mythical creatures for Día de los Muertos?,Sunset Park High School Students Bring Mythical Creatures to Life for el Día de los Muertos at Green-Wood Cemetery,"Anna Reid, a Sunset Park High School art teacher, described how her students were building large-scale plaster alebrijes for Green-Wood Cemetery's Día de los Muertos celebration, drawing on the legacy of Pedro Linares with designs inspired by water, earth, fire, and air. The piece recounted the school's past contributions of papel picado, cempasúchil, and ceramic alebrijes, and announced the November 1 unveiling at the Historic Chapel, where the community could help decorate a giant alebrije.",Answered,,,Anna Reid,,Unassigned,,,,
NYC-SP-STR-41,SPS: November 2025,11-2025,Welcome Note,What has the Sunset Park Sun built in one year — and who built it?,One Year Ago: We Sat Down for Lunch and Built Something Together,"Terry Parris Jr. marked the Sunset Park Sun's first year by returning to the October 2024 Saturday lunch at Sunset Park Library, where about 20 strangers marked their most cherished spots on a map and the project took shape. He counted what followed — nearly two dozen sessions, almost 200 residents, more than 20 volunteers, and six issues carrying about three dozen stories — and pointed to Maureen and Carmen getting better at asking questions, Susan's first Community Board meeting, and Judith's answer on the recreation center as proof of what neighbors can do.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-42,SPS: November 2025,11-2025,Arts & Culture,What can you say about Sunset Park in five lines and a ZIP code?,Zip-ode Poems for Sunset Park,"Diana M. introduced the ZipOde, a form created by the nonprofit O, Miami with the NPR-affiliated station WLRN in which each digit of a ZIP code sets the number of words in a line. She used 11220 to write eight short poems about Sunset Park, covering the Manhattan skyline seen from the park, Our Lady of Perpetual Help, Green-Wood Cemetery, the library, the neighborhood's closed stores, and the people who live here.",Answered,,,Diana Murillo,,Unassigned,,,,
NYC-SP-STR-43,SPS: November 2025,11-2025,Business Spotlight,What's Behind the Menu at George's Restaurant?,What's Behind the Menu at...George's Restaurant?,"Carmen R. and Maureen C. profiled George's Restaurant at 5701 Fifth Avenue, opened in 1957 by Greek immigrant George Planzos II and run since 1987 by his son Teddy, who started there at 15. The piece traced three generations of the family in the restaurant trade, the expansions into a former pharmacy and barbershop, and the menu's shift toward Dominican mangu and Mexican carne asada as the neighborhood's Irish and Scandinavian customers gave way to Latino and Chinese ones.",Answered,,,"Carmen Rivera, Maureen Cullen",Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-44,SPS: November 2025,11-2025,Nature,What is the year-round city bird you see at the waterfront and Green-Wood?,Sunset Park Sun Bird of the Month: Canada Goose,"Charlie DeWitt's Bird of the Month featured the Canada goose, or Branta canadensis, a year-round city resident he watches at the waterfront park and Green-Wood Cemetery. The piece covered the bird's markings and 43-to-60-inch wingspan, its bowl-shaped nests and lifelong pairings, and the 2009 euthanizing of city geese after the LaGuardia bird strike, which many birders called both controversial and ineffective.",Answered,,,Charlie Dewitt,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-45,SPS: November 2025,11-2025,Neighborhood Spotlight,"Where does Sunset Park begin and end, and what do three different maps get wrong? (中文版)",Boundaries stories (Chinese),"Michal N.'s boundaries story, first published in English in the August 2025 issue, ran here in Chinese translation, comparing how Google Maps, the New York Times' 2023 crowd-sourced neighborhood map, and Community Board 7 each draw Sunset Park's edges and finding that no two matched. It also collected building names pointing somewhere else — Park Slope Homes, two Linden Heights sites, Sunset Ridge Cafe & Grill, the former Bay Ridge Savings Bank, and a Greenwood Heights Reformed Church property marker — and asked who gets to decide what a neighborhood is called.",Answered,,,Michal Novemsky,,Unassigned,,,,
NYC-SP-STR-46,SPS: November 2025,11-2025,Neighborhood Spotlight,"Where does Sunset Park begin and end, and what borrowed names are hiding in plain sight? (Versión en español)",Boundaries stories (Spanish),"Michal N.'s boundaries story, first published in English in the August 2025 issue, ran here in Spanish translation, setting Google Maps, the New York Times' 2023 crowd-sourced neighborhood map, and Community Board 7 against each other and finding no two drew the same Sunset Park. It carried the same set of misplaced building names — Park Slope Homes, Linden Heights, Sunset Ridge Cafe & Grill, the old Bay Ridge Savings Bank, and the Greenwood Heights Reformed Church marker — and closed by asking readers for strange or borrowed names they had noticed.",Answered,,,Michal Novemsky,,Unassigned,,,,
NYC-SP-STR-47,SPS: November 2025,11-2025,Event Spotlight,Need help starting a business? What can Sunset Park Library do for you?,One-to-one support for entrepreneurs,"The team ran a notice that Sunset Park Library was hosting free one-on-one support for entrepreneurs every Wednesday from 10 a.m. to noon and 2 to 4 p.m., and every Friday from 11 a.m. to 3 p.m. It listed what librarians could help with — registering a business, accessing loans or grants, permits, marketing, finances, and small-business tech tools — and noted that no appointment or RSVP was necessary.",Answered,,,Eliana Miller,,Unassigned,,,,
NYC-SP-STR-48,SPS: November 2025,11-2025,Event Spotlight,What legal basics should a new business owner know?,Legal services at the library,"The team announced a free legal basics class for start-ups at Sunset Park Library on November 13 at 5:30 p.m., presented by The Legal Aid Society's Community Development Project. The training introduced the different business entities — sole proprietorships, partnerships, LLCs, and corporations — and what each means for liability and taxes, with no RSVP needed in person and a QR code for joining by Zoom with Spanish interpretation.",Answered,,,Eliana Miller,,Unassigned,,,,
NYC-SP-STR-49,SPS: November 2025,11-2025,Fun,Can you write a poem about Sunset Park using your ZIP code?,Sunset Park Poetry engagement,"The back page invited readers to write their own ZipOde after Diana M.'s poems, explaining that each digit of a ZIP code sets the words in that line and that a 0 lets the writer choose anything from one to nine. It suggested writing about a block, a favorite view, or the neighbors, left ruled space to fill in, and asked readers to drop poems at the Sunset Park Library or photograph the page and email it in.",Answered,,,Terry Parris Jr.,,Unassigned,,,,
NYC-SP-STR-50,SPS: December 2025,12-2025,Welcome Note,What is the gift at the heart of the Sunset Park Sun?,"The Gift of Curiosity, Connection, and Community","Terry Parris Jr. opened the December issue on the idea of the gift, naming the work neighbors do together — sitting at a library table helping someone think through a story, hearing a sharper question than last month, watching a volunteer walk in with a head full of ideas — as the gift at the center of it. He described the bulletin as wrapping paper around the neighborhood itself, promised more sessions, stories, and experiments in 2026, and invited readers to send ideas and questions.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-51,SPS: December 2025,12-2025,Neighborhood News,"Who won in Sunset Park on November 4, and what does the new city government look like?",Mamdani Makes History; Aviles Wins Sunset Park,"The Sunset Park Sun team recapped the November 4, 2025 citywide election, in which Zohran Mamdani won the mayoralty with just over 50 percent of the vote against Andrew Cuomo's 42 percent and Curtis Sliwa's 7 percent, and took 60 percent in Sunset Park. The piece noted Mamdani would be the city's first Muslim and first South Asian mayor and the youngest in more than a century, reported Council Member Alexa Avilés holding District 38 with nearly 73 percent, and listed the other citywide results and all six ballot proposals.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
